kw,hub,cluster_id,intent,est_volume,est_kd,priority,cannibal_slug
"dometic vs webasto parking ac",H6,H6-c25,comparison,280,26,15,dometic-vs-webasto-parking-ac
"r134a vs r1234yf parking ac",H6,H6-c78,comparison,280,26,15,
"best rv ac for off grid",H2,H2-c01,commercial,182,20,14,
"best place to install parking ac",H7,H7-c38,commercial,182,20,14,parking-ac-for-school-bus-conversion
"fleet parking ac bulk pricing",H9,H9-c74,transactional,280,26,14,
"long haul truck ac",H1,H1-c02,informational,550,42,13,
"solar powered rv ac",H4,H4-c12,informational,550,42,13,
"inverter for rv ac",H4,H4-c14,informational,550,42,13,
"parking ac mounting bracket",H7,H7-c41,informational,550,42,13,
"parking ac wiring kit",H7,H7-c44,informational,550,42,13,
"parking ac install diy",H7,H7-c39,informational,385,32,12,
"12v parking ac for trucks",H2,H2-c01,informational,280,26,11,
"truck parking air conditioner 24v",H2,H2-c01,informational,280,26,11,parking-ac-tunisia
"truck cab ac without idling",H2,H2-c01,informational,280,26,11,
"24v truck ac no idle",H2,H2-c01,informational,280,26,11,
"12v rooftop ac for rv",H2,H2-c01,informational,280,26,11,
"class b van rv ac",H2,H2-c01,informational,280,26,11,
"rv ac with heat pump",H2,H2-c01,informational,280,26,11,
"parking ac for camper van",H2,H2-c01,informational,280,26,11,
"12v ac for camper van",H2,H2-c01,informational,280,26,11,
"battery for 12v ac unit",H2,H2-c01,informational,280,26,11,
"how to install parking ac",H2,H2-c01,informational,280,26,11,
"parking ac compatibility with sleeper",H2,H2-c01,informational,280,26,11,
"parking ac for upfitter shops",H2,H2-c01,informational,280,26,11,
"parking ac btu for sleeper",H2,H2-c01,informational,280,26,11,
"parking ac for hot climate",H2,H2-c01,informational,280,26,11,
"parking ac with heat pump",H2,H2-c01,informational,280,26,11,reduce-driver-heat-stress
"rv ac battery how long",H4,H4-c07,informational,280,26,11,
"truck idling laws by state",H5,H5-c17,informational,280,26,11,no-idle-truck-ac
"parking ac anti idling regulation",H5,H5-c17,informational,280,26,11,no-idle-ac-anti-idling-laws
"fleet fuel savings no idle",H5,H5-c20,informational,280,26,11,parking-ac-fuel-savings-calculator
"apu return on investment trucking",H5,H5-c22,informational,280,26,11,
"roof cutout size parking ac",H7,H7-c34,informational,280,26,11,
"install rooftop ac on truck",H7,H7-c36,informational,280,26,11,
"parking ac roof opening dimensions",H7,H7-c37,informational,280,26,11,
"parking ac minimum roof thickness",H7,H7-c37,informational,280,26,11,
"how to become parking ac distributor",H9,H9-c71,commercial,140,20,11,
"truck sleeper ac",H2,H2-c01,navigational,1100,38,9,
"truck overnight ac",H2,H2-c01,navigational,1100,38,9,
"sprinter van ac",H2,H2-c01,navigational,1100,38,9,
"parking ac germany",H2,H2-c01,navigational,1100,38,9,
"parking ac australia",H2,H2-c01,navigational,1100,38,9,
"parking ac turkey",H2,H2-c01,navigational,1100,38,9,
"parking ac vietnam",H2,H2-c01,navigational,1100,38,9,
"parking ac malaysia",H2,H2-c01,navigational,1100,38,9,
"parking ac india",H2,H2-c01,navigational,1100,38,9,
"quietest parking ac",H2,H2-c01,navigational,1100,38,9,
"how many amp hours run ac all night",H4,H4-c07,informational,70,8,9,
"no idle ordinance",H5,H5-c17,navigational,1100,38,9,
"cheaper than webasto",H6,H6-c26,navigational,1100,38,9,
"parking ac mexico",H8,H8-c46,navigational,1100,38,9,
"parking ac brazil",H8,H8-c46,navigational,1100,38,9,
"parking ac france",H8,H8-c46,navigational,1100,38,9,
"parking ac uk",H8,H8-c47,navigational,1100,38,9,
"parking ac uae",H8,H8-c49,navigational,1100,38,9,
"parking ac canada",H8,H8-c50,navigational,1100,38,9,
"parking ac italy",H8,H8-c52,navigational,1100,38,9,
"parking ac spain",H8,H8-c53,navigational,1100,38,9,
"parking ac poland",H8,H8-c54,navigational,1100,38,9,
"parking ac netherlands",H8,H8-c55,navigational,1100,38,9,
"parking ac sweden",H8,H8-c56,navigational,1100,38,9,
"parking ac thailand",H8,H8-c58,navigational,1100,38,9,
"parking ac indonesia",H8,H8-c59,navigational,1100,38,9,
"parking ac japan",H8,H8-c60,navigational,1100,38,9,
"parking ac korea",H8,H8-c61,navigational,1100,38,9,
"parking ac maintenance",H9,H9-c64,navigational,1100,38,9,
"lifepo4 battery for parking ac",H4,H4-c10,informational,280,36,8,lifepo4-battery-for-parking-ac
"battery powered ac for sleeping",H4,H4-c11,informational,280,36,8,
"solar panel for parking ac",H4,H4-c13,informational,280,36,8,
"rooftop ac fits which trucks",H7,H7-c45,informational,280,36,8,
"no idle ac for semi trucks",H2,H2-c01,informational,140,20,7,
"parking ac power and battery system",H2,H2-c01,informational,140,20,7,parking-ac-battery-management-system
"how long can battery run ac",H4,H4-c15,informational,140,20,7,
"thermo king tripac vs carrier comfort pro",H6,H6-c27,comparison,70,14,7,
"parking ac russia",H8,H8-c57,navigational,1100,48,7,
"can i install parking ac myself",H7,H7-c40,informational,98,20,5,
